Latitude,Longitude,name,description
45.783978,4.852588,LY-28,
45.780052,4.848919,LY-29,
45.780709,4.809308,LY-30,
45.778391,4.8089,LY-31,
45.776221,4.807119,LY-32,
45.770373,4.814115,LY-33,
45.76762,4.81832,LY-34,
45.76777,4.819736,LY-35,
45.760346,4.821818,LY-36,
45.756857,4.82082,LY-37,
45.749762,4.828325,LY-38,
45.777089,4.843941,LY-39,
45.752112,4.84614,LY-40,
45.754709,4.812183,LY-41,
45.776867,4.820423,LY-42 ??,
45.756919,4.826777,LY-43,
45.755409,4.83156,LY-44,
45.756691,4.832048,LY-45,
45.755038,4.831278,LY-45,
45.756328,4.83193,LY-46,
45.75501,4.831305,LY-47,
45.757667,4.830916,LY-48,
43.303876,5.380388,MARS-01,
43.29201,5.372915,MARS-02,
43.29308,5.371912,MARS-03,
43.294624,5.382083,MARS-04,
43.294065,5.383542,MARS-05,
43.292615,5.384014,MARS-06,
43.295647,5.382166,MARS-07,
43.299913,5.368083,MARS-08,
43.297719,5.367568,MARS-09,
43.303863,5.377695,MARS-10,
43.300644,5.380472,MARS-11,
43.297368,5.365532,MARS-12,
43.30081,5.382464,MARS-13,
43.296903,5.405288,MARS-14,
43.36053,5.314748,MARS-15,
43.361245,5.314066,MARS-16,
43.361117,5.312665,MARS-17,
43.360936,5.310773,MARS-18,
43.347908,5.362381,MARS-19,
43.320132,5.372772,MARS-20,
43.326274,5.360591,MARS-21,
43.226297,5.416477,MARS-22,
43.229974,5.436706,MARS-23,
43.357587,5.423091,MARS-24,
43.35186,5.438671,MARS-25,
43.330517,5.427496,MARS-26,
43.328767,5.41369,MARS-27,
43.319036,5.408058,MARS-28,
43.316926,5.404214,MARS-29,
43.299181,5.385036,MARS-30,
43.2964,5.362452,MARS-31,
43.294626,5.355685,MARS-32,
43.295216,5.385786,MARS-33,
43.294254,5.38073,MARS-34,
43.296447,5.374617,MARS-35,
43.298018,5.377189,MARS-36,
43.277684,5.427848,MARS-37,
43.295992,5.405868,MARS-38,
43.292814,5.382664,MARS-39,
43.304157,5.414823,MARS-40,
43.295133,5.390979,MARS-41,
43.284302,5.367414,MARS-42,
43.289353,5.368283,MARS-43,
43.292192,5.377378,MARS-44,
43.289068,5.37871,MARS-45,
43.306043,5.365854,MARS-46,
43.298633,5.366444,MARS-47,
43.294675,5.384505,MARS-48,
43.21261,5.353594,MARS-49,
43.217571,5.345907,MARS-50,
43.303278,5.365067,MARS-51,
43.299241,5.369058,MARS-52,
43.296083,5.367311,MARS-53,
43.297608,5.368767,MARS-54,
43.297998,5.370666,MARS-55,
43.296873,5.372667,MARS-56,
43.299006,5.380278,MARS-57,
43.295655,5.363786,MARS-58,
43.29108,5.356007,MARS-59,
43.2852,5.350285,MARS-60,
43.285425,5.35183,MARS-61,
43.2854,5.350524,MARS-62,
43.282804,5.350412,MARS-63,
43.282589,5.348935,MARS-64,
43.27996,5.351747,MARS-65,
43.280192,5.351983,MARS-66,
43.2831,5.348349,MARS-68,
43.247203,5.374066,MARS-70,
43.237207,5.360502,MARS-71,
43.282757,5.454889,MARS-72,
43.21021,5.420176,MARS-73,
43.250345,5.389792,MARS-74,
43.301971,5.380353,MARS-75,
43.302383,5.38322,MARS-76,
43.297452,5.38125,MARS-77,
43.291184,5.383199,MARS-78,
43.294804,5.374719,MARS-79,
43.283647,5.399092,MARS-80,
43.279184,5.399347,MARS-81,
43.293509,5.382937,MARS-82,
43.325832,5.409365,MARS-83,
43.269169,5.388459,MARS-84,
43.28151,5.40465,MARS-85,
43.303824,5.418617,MARS-86,
43.2112,5.423557,MARS-87,
43.213121,5.443389,MARS-88,
43.320386,5.367898,MARS-89,
43.261994,5.394184,MARS-90,sur le toit de mecatech
43.261274,5.396296,MARS-91,sur le toit de la cité radieuse
43.260877,5.396241,MARS-92,
43.261184,5.396237,MARS-93,dans une niche sur le toit
43.26113,5.39626,MARS-94,
43.2611,5.396268,MARS-95,
43.262012,5.39506,MARS-96,énorme sur la façade
43.261631,5.396238,MARS-97,dans la librairie Imbernon
43.613188,3.875706,MPL-01,
43.612815,3.876286,MPL-02,
43.613406,3.877101,MPL-03,
43.612629,3.879182,MPL-04,
43.612256,3.879086,MPL-05,
43.612419,3.879987,MPL-06,
43.611317,3.879161,MPL-07,
43.611829,3.878152,MPL-08,
43.611588,3.87782,MPL-09,
43.610889,3.878238,MPL-10,
43.61075,3.877884,MPL-11,
43.61099,3.877026,MPL-12,
43.610508,3.8765,MPL-13 ??,
43.610847,3.876625,MPL-13 ???,
43.610066,3.877165,MPL-14,
43.609725,3.8765,MPL-15,
43.610112,3.875974,MPL-16 ??,
43.6096,3.875105,MPL-17,
43.609002,3.875535,MPL-18,
43.608466,3.874537,MPL-19,
43.609,3.874043,MPL-20 ??,
43.609303,3.874665,MPL-21,
43.610641,3.873668,MPL-22,
43.611104,3.873831,MPL-23,
43.611456,3.873389,MPL-24,
43.614594,3.878914,MPL-25,
43.611736,3.874655,MPL-26,
43.612016,3.875792,MPL-27,
43.612551,3.874762,MPL-28,
43.608063,3.873432,MPL-29,
43.611262,3.875277,MPL-30,
43.610734,3.876468,MPL-31,
43.610594,3.875138,MPL-32,
43.610897,3.87473,MPL-33,
43.611254,3.872252,MPL-34,
43.612295,3.876543,MPL-35,
43.611922,3.876715,MPL-36,
43.409074,3.677119,MPL-37 ???,
43.611922,3.875932,MPL-38,
43.609259,3.876886,MPL-39,
43.607231,3.872681,MPL-40 ???,
43.606643,3.8715,MPL-41,
43.607667,3.881425,MPL-42,
44.01702,1.352031,MTB-1,
44.018784,1.351455,MTB-02,DANS LES ESCALIERS
44.014959,1.351978,MTB-05,
44.014117,1.348869,MTB-06,
44.016734,1.351854,MTB-7,
44.017413,1.351364,MTB-08,
44.016111,1.351511,MTB-09,
44.014868,1.354785,MTB-10,
44.016996,1.35156,MTB-11,
47.215586,-1.5458,NA-01,
47.217042,-1.548775,NA-03,
43.83452,4.362495,NIM-,
43.837097,4.35962,NIM-03,
43.838156,4.357404,NIM-04,
43.833476,4.367226,NIM-05,
48.854674,2.371112,PA_0050,
48.860255,2.36201,PA_074,
48.853199,2.376441,PA_091,
48.867489,2.337726,PA_096,
48.853188,2.3438,PA_98,
48.872358,2.364006,PA_100,
48.871391,2.378607,PA_101,
48.838673,2.375663,PA_0123,
48.848025,2.3984,PA_127,
48.823363,2.381812,PA_0129,
48.821937,2.379718,PA_130,
48.886149,2.341285,PA_0170,
48.885649,2.343289,PA_171,
48.841542,2.282298,PA_0174,
48.854623,2.336468,PA_0186,Parfois derrière un volet donc venir la nuit 
48.873399,2.370715,PA_0199,
48.828462,2.388389,PA_202,
48.855803,2.354401,PA_0230,
48.853029,2.368921,PA_249 : Dans le métro ligne 1 sous la bordure du quai,
48.844132,2.402251,PA_0261,DANS LE RESTO Chez Gudule
48.853174,2.369147,PA_0274,SE SITUE SOUS LE METRO (Complexe a trouver)
48.856638,2.356857,PA_0287,par terre
48.871972,2.376428,PA_0292,Dans le bar Le ZORBA
48.865487,2.342637,PA_0297,PAR TERRE
48.852581,2.407576,PA_0318,
48.863391,2.348996,PA_0319,
48.86043,2.363985,PA_0341,
48.862137,2.363573,Pa_0356,
48.830901,2.352753,PA_0361,
48.867878,2.364399,PA_0370,
48.854704,2.288522,PA_0382,
48.866622,2.365006,PA_0383,
48.870037,2.431036,PA_0397,A CHERCHER DANS CETTE ZONE
48.81809,2.415144,PA_0425,SUR LE PONT DE LA RUE CROQUETTE
48.865402,2.37593,PA_0435,BOCA MEXA
48.853354,2.376679,Pa_0461,
48.857307,2.361813,Pa_0482,
48.853675,2.376837,PA_0544,
48.849125,2.351662,PA_0603,DANS LA PISCINE PONTOISE
48.852847,2.329517,PA_0625,DETRUIT ?
48.851393,2.329128,PA_0627,
48.827261,2.314541,PA_0628,AU DESSUS DE YUMMY HOME
48.872301,2.378097,PA_0632,
48.881811,2.368914,PA_0633,
48.887227,2.337148,PA_0640,
48.883822,2.312142,PA_0662,
48.872397,2.377072,PA_0689,FRISE TOUT LE LONG DU MUR DU JARDIN EN BAS
48.873642,2.388197,PA_0731,
48.831278,2.266113,PA_0759,DEVANT CHEZ CANAL +
48.83482,2.262046,PA_0760,
48.855635,2.29012,PA_0772,SUR LES MARCHES
48.861051,2.405,PA_0785,
48.863654,2.34913,PA_0840,
48.826533,2.36441,PA_0876,
48.900537,2.371655,PA_0905,
