name,Latitude,Longitude
"Space Invader PA_0106, 2 rue Charlemagne",48.853901,2.361889
"Space Invader PA_0107, pont d'I̩na, rive gauche nord",48.859382,2.292935
"Space Invader PA_0108, tunnel de l'avenue de New York",48.859936,2.29058
"Space Invader PA_0109, 587 & 1081, tuyaux d'̩vacuation du Centre Pompidou",48.859764,2.352534
"Space Invader PA_0110, 91 rue Quincampoix",48.86263,2.35125
"Space Invader PA_0111, 20 rue Hermel",48.891598,2.344664
"Space Invader PA_0112, 19 rue Gassendi",48.835,2.326943
"Space Invader PA_0113, 46 rue du Cardinal Lemoine",48.846596,2.351423
"Space Invader PA_0114 & PA_1023, 26 rue Vieille du Temple",48.857153,2.357275
"Space Invader PA_0115, impasse des Arbal̩triers",48.858572,2.359639
"Space Invader PA_0116, 45 passage Thi̩r̩",48.854719,2.372764
"Space Invader PA_0117, 31 passage Thi̩r̩ sur le trottoir",48.854414,2.373113
"Space Invader PA_0118, 1 rue Raymond Ayron",48.835576,2.375347
"Space Invader PA_0119 & PA_0824, 102 rue de Bagnolet",48.859426,2.402789
"Space Invader PA_0120, 44 quai de Jemmapes",48.869474,2.367228
"Space Invader PA_0121, 7 rue des Saints-P̬res",48.857629,2.332797
"Space Invader PA_0122, rue de la Clef, sous le lierre",48.840487,2.353132
"Space Invader PA_0124, 40 rue de l'Arcade",48.873356,2.324385
"Space Invader PA_0125, sud de la Fontaine aux Lions",48.83954,2.39581
"Space Invader PA_0126, pont d'I̩na (rive gauche)",48.859222,2.292681
"Space Invader PA_0128, 1 rue de Charonne",48.852,2.37376
"Space Invader PA_0131, 53 rue des Orteaux",48.856488,2.403152
"Space Invader PA_0132, 97 rue des Marąchers",48.856255,2.405541
"Space Invader PA_0133, 7 passage de la Main d'Or",48.851674,2.3779
"Space Invader PA_0135, entr̩e sud du Carrousel",48.860367,2.333511
"Space Invader PA_0143, place du Ch̢telet",48.857374,2.347233
"Space Invader PA_0144, face au 49 rue Saint-Merri",48.86014,2.35078
"Space Invader PA_0145, 9 rue Saint-Merri",48.8593,2.353009
"Space Invader PA_0146, 2 rue V̩ron̬se",48.834234,2.355438
"Space Invader PA_0147, gare d'Austerlitz",48.842848,2.365852
"Space Invader PA_0148, sur le pont d'Arcole",48.85593,2.35063
"Space Invader PA_0149, 1 rue de Turenne",48.854717,2.362911
"Space Invader PA_0150, angle de la Sorbonne",48.84745,2.34358
"Space Invader PA_0151, 28 rue Lhomond",48.843051,2.346784
"Space Invader PA_0152, place de la Concorde",48.86619,2.323337
"Space Invader PA_0154, m̩tro de Bel-Air",48.841734,2.400953
"Space Invader PA_0155, 16 rue des Trois Portes",48.851375,2.348257
"Space Invader PA_0156, 2 rue Simon le Franc",48.85991,2.354299
"Space Invader PA_0157, 10 rue Clovis",48.846242,2.348976
"Space Invader PA_0158, 7 rue Debelleyme.",48.8607,2.363722
"Space Invader PA_0159, 69 rue d'Hauteville",48.876025,2.351035
"Space Invader PA_0160, 16 rue Andr̩ Barsacq",48.885374,2.340677
"Space Invader PA_0161, 17 rue Yvonne Le Tac",48.884163,2.339665
"Space Invader PA_0162, 8 quai de la Seine",48.884617,2.370559
"Space Invader PA_0163, 133 rue Saint-Jacques",48.84691,2.34355
"Space Invader PA_0165, 5 rue Cortot",48.887647,2.340567
"Space Invader PA_0166, face au 21 rue Georges Auric",48.885298,2.38531
"Space Invader PA_0167 & PA_0168, 37 rue Richelieu",48.865523,2.336674
"Space Invader PA_0169, 2 rue du Mont Cenis",48.886355,2.341469
"Space Invader PA_0172, 21 rue Carpeaux",48.89119,2.3318
"Space Invader PA_0175, 18 passage du Chantier",48.851599,2.373552
"Space Invader PA_0176, 12 rue Cassette",48.849961,2.33077
"Space Invader PA_0177, 12 rue du 29 Juillet",48.865373,2.33081
"Space Invader PA_0178, 165 rue du Faubourg Saint-Honor̩",48.874702,2.305926
"Space Invader PA_0179, entr̩e du tunnel de Champigny",48.82725,2.50721
"Space Invader PA_0180, 14 rue Madame",48.851063,2.331925
"Space Invader PA_0181, 20-24 rue Madame",48.850645,2.331768
"Space Invader PA_0182, 18 rue Madame",48.850962,2.331918
"Space Invader PA_0183, 19 rue de M̩zi̬res",48.85035,2.331885
"Space Invader PA_0184, 2 rue Mignon",48.852326,2.341737
"Space Invader PA_0185, 8 rue Scribe",48.872642,2.33117
"Space Invader PA_0187, fontaine Jussieu",48.846366,2.354711
"Space Invader PA_0188, 39 rue des Francs-Bourgeois",48.85788,2.36018
"Space Invader PA_0189, 3 rue Geoffroy Langevin",48.860515,2.354532
"Space Invader PA_0190, 1 rue Stendhal",48.860208,2.403704
"Space Invader PA_0191, 21 chemin du Parc de Charonne",48.86068,2.402905
"Space Invader PA_0192 & PA_0785, face au 130 rue de Bagnolet",48.860974,2.404965
"Space Invader PA_0193, 29 rue de R̩aumur",48.865294,2.356472
"Space Invader PA_0194, 61 rue du Chemin Vert",48.859993,2.377448
"Space Invader PA_0195, avenue de la porte Clignancourt",48.900821,2.344819
"Space Invader PA_0196, place de la Bataille de Stalingrad",48.883703,2.368895
"Space Invader PA_0197, cimeti̬re de Montmartre",48.886559,2.33238
"Space Invader PA_0198, 27 rue Sainte-Marthe",48.874305,2.372611
"Space Invader PA_0200, face au 194 rue de Bercy",48.844506,2.37238
"Space Invader PA_0201, 19 rue Georges Lardennois",48.87801,2.37682
"Space Invader PA_0204, place de la porte de Pantin",48.889956,2.395975
"Space Invader PA_0205, parvis de Saint-Vincent-de-Paul",48.878073,2.35168
"Space Invader PA_0206, place de Clichy",48.883508,2.327428
"Space Invader PA_0207, 7 rue Damr̩mont",48.887721,2.332576
